128.84.140.215 - 0000001 [05/Oct/2020:10:32:51 -0800] "HEAD /web_assets/flash/runner/Leaderboard1_v04.swf HTTP/1.1" 200 - "http://sourceforge.net/forum/forum.php?forum_id=544686" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; .NET CLR 1.1.4322; InfoPath.2)" "128.84.140.215.6087629394390023"
190.134.145.226 - 0000002 [05/Oct/2020:10:32:51 -0800] "GET /web_assets/flash/runner/Leaderboard1_v04.swf HTTP/1.1" 200 185077 "http://sourceforge.net/project/showfiles.php?group_id=32993&package_id=25487&release_id=273294" "Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8.1.11) Gecko/20071127 Firefox/2.0.0.11" "190.134.145.226.6087629394390021"
159.226.247.165 - 0000003 [05/Oct/2020:10:32:51 -0800] "GET /web_assets/flash/runner/Letterboard_A_1.swf HTTP/1.1" 200 14140 "http://sourceforge.net/forum/?group_id=110672" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.9) Gecko/20071025 Firefox/2.0.0.9" "159.226.247.165.6087629394390022"
42.123.97.195 - 0000004 [05/Oct/2020:10:32:52 -0800] "GET /themes/acme_com/img/skins/white/logos/downloads/windows-logo.jpg HTTP/1.1" 200 3852 "http://sourceforge.net/project/showfiles.php?group_id=171676&package_id=196263&release_id=431372" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Media Center PC 3.0; .NET CLR 1.0.3705; .NET CLR 1.1.4322)" "42.123.97.195.6087629394390027"
240.54.187.93 - 0000005 [05/Oct/2020:10:32:52 -0800] "GET /web_assets/flash/runner/Imagine_Leaderboard.swf HTTP/1.1" 302 - "http://www.acme.com/" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.0.04506)" "240.54.187.93.6087629394390025"
26.1.49.187 - 0000006 [05/Oct/2020:10:32:52 -0800] "HEAD /web_assets/flash/runner/DJ_01a_Juniper_Leaderboard.swf HTTP/1.1" 200 - "http://www.linuxquestions.org/questions/linux-software-2/software-to-read-.mpp-document-ms-project-336751/" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.1.3) Gecko/2007030919 Firefox/2.0.0.3" "26.1.49.187.6087629394390026"
153.58.184.80 - 0000007 [05/Oct/2020:10:32:52 -0800] "GET /themes/acme_com/img/skins/white/logos/downloads/logo_solaris.gif HTTP/1.1" 200 - "http://slashdot.org/" "Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.8.1.11) Gecko/20071127 Firefox/2.0.0.11" "153.58.184.80.6087629394390028"
246.76.200.130 - 0000008 [05/Oct/2020:10:32:52 -0800] "GET /themes/acme_com/scripts/js/global.js HTTP/1.1" 200 8632 "http://www.acme.com/" "Opera/9.24 (Macintosh; Intel Mac OS X; U; en)" "246.76.200.130.6087629394390024"
147.129.216.148 - 0000009 [05/Oct/2020:10:32:53 -0800] "GET /themes/acme_com/css/docs.css HTTP/1.1" 200 12195 "http://science.slashdot.org/article.pl?sid=07/12/13/2122259&from=rss" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; InfoPath.2; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648)" "147.129.216.148.6087629394390029"
27.205.191.17 - 0000010 [05/Oct/2020:10:32:53 -0800] "HEAD /web_assets/flash/runner/Leaderboard2_v04.swf HTTP/1.1" 404 - "http://www.acme.com/index.php/landing?ac=ostg-cpd" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9a1) Gecko/20070308 Minefield/3.0a1" "27.205.191.17.6087629394390030"
147.129.216.148 - 0000011 [05/Oct/2020:10:32:53 -0800] "GET /images/base/frame_g_br.gif HTTP/1.1" 200 76 "http://www.acme.com/themes/acme_com/css/docs.css" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; InfoPath.2; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648)" "147.129.216.148.6087629394390029"
44.117.186.78 - 0000012 [05/Oct/2020:10:32:54 -0800] "GET /themes/acme_com/img/trans.gif HTTP/1.1" 200 43 "http://sourceforge.net/docman/?group_id=107249" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "44.117.186.78.6087629394390037"
7.100.155.106 - 0000013 [05/Oct/2020:10:32:54 -0800] "GET /web_assets/flash/runner/Letterboard_A_1.swf HTTP/1.1" 200 14140 "http://sourceforge.net/project/showfiles.php?group_id=1537" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)" "7.100.155.106.6087629394390032"
249.17.46.182 - 0000014 [05/Oct/2020:10:32:54 -0800] "HEAD /themes/acme_com/scripts/sifr3/myriad_pro_semibold-8.swf HTTP/1.1" 200 - "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; InfoPath.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)" "249.17.46.182.6087629394390035"
2.139.113.61 - 0000015 [05/Oct/2020:10:32:54 -0800] "GET /cave/narc.php HTTP/1.1" 200 394 "http://sourceforge.net/project/showfiles.php?group_id=21926&package_id=15700&release_id=100966" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.2; WOW64; SV1)" "2.139.113.61.6087629394390034"
115.24.66.183 - 0000016 [05/Oct/2020:10:32:54 -0800] "GET /web_assets/flash/runner/Ethan_Leaderboard_01_a.swf HTTP/1.1" 200 24659 "http://yro.slashdot.org/comments.pl" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.0.04506)" "115.24.66.183.6087629394390031"
